,sourceMac,measurementTimestamp,x,y,maxValue,maxProbe,localMac
0,899d3d4f-6ad1-41e3-9cd5-a1627a069a9a,1450998345455,1.399965,23.378229,-63.75,106,0
1,38482234-0ae0-41e2-af63-b863f03e9feb,1450998355371,11.395496,17.954244,-69.66666666666667,106,0
2,1639c482-5d17-4c4d-a27e-2b917166d6f7,1450998363802,2.333031,26.991955,-57.92307692307692,106,1
3,1639c482-5d17-4c4d-a27e-2b917166d6f7,1450998366589,2.859132,24.772772,-60.0,106,1
4,1639c482-5d17-4c4d-a27e-2b917166d6f7,1450998367534,-19.052702,13.237042,-77.5,101,1
5,899d3d4f-6ad1-41e3-9cd5-a1627a069a9a,1450998390782,2.73257,23.850624,-61.04,106,0
6,07270033-e235-46a2-991f-be6b2ec51c2e,1450998452332,-12.812161,59.219573,-82.0,101,0
7,899d3d4f-6ad1-41e3-9cd5-a1627a069a9a,1450998565101,-11.013606,20.519906,-79.6,101,0
8,bd81542f-1e52-4ee0-8024-3cf03011e740,1450998565692,141.199137,13.665368,-70.0,113,0
9,899d3d4f-6ad1-41e3-9cd5-a1627a069a9a,1450998565807,1.666302,24.382837,-61.0,106,0
10,899d3d4f-6ad1-41e3-9cd5-a1627a069a9a,1450998566444,2.016581,28.61195,-65.0,106,0
11,899d3d4f-6ad1-41e3-9cd5-a1627a069a9a,1450998567933,4.307262,23.81703,-60.25,106,0
12,899d3d4f-6ad1-41e3-9cd5-a1627a069a9a,1450998572161,4.829351,23.052053,-63.0,106,0
13,29ae8d8b-8f95-4adf-95f5-d7a5cf2b597d,1450998623577,6.737905,26.850241,-59.166666666666664,106,1
14,29ae8d8b-8f95-4adf-95f5-d7a5cf2b597d,1450998627381,4.645342,27.091335,-46.5,106,1
15,899d3d4f-6ad1-41e3-9cd5-a1627a069a9a,1450998640807,-12.711258,-5.136993,-73.58333333333333,101,0
16,899d3d4f-6ad1-41e3-9cd5-a1627a069a9a,1450998731483,6.756644,9.393336,-74.27586206896552,101,0
17,552f73fc-ca4e-449f-93ca-772e234813b8,1450998740724,6.646553,25.11989,-62.25,106,0
18,899d3d4f-6ad1-41e3-9cd5-a1627a069a9a,1450998776815,7.859536,25.115481,-65.5,106,0
19,9d840228-3a82-4ed1-a7ac-0644694a06ea,1450998777862,7.769942,23.351947,-56.0,106,1
20,646669a4-b4c9-40f8-9ffe-3a47c1394361,1450998781517,6.583474,30.997763,-57.733333333333334,106,1
21,646669a4-b4c9-40f8-9ffe-3a47c1394361,1450998785713,1.396146,28.545647,-64.0,106,1
22,f348aab6-9a7a-43c2-abd0-c3d2b63fdc46,1450998882533,3.101951,24.047042,-58.4,106,0
23,644c4fe0-0439-46c7-b2c2-43c9d8578c3e,1450998955391,2.311743,34.532226,-68.66666666666667,106,1
24,dfc13a94-3f3b-4f80-961e-7e5ba722e976,1450998980362,6.930228,30.573956,-56.25,106,0
25,dfc13a94-3f3b-4f80-961e-7e5ba722e976,1450998980794,1.450796,18.227852,-61.5,106,0
26,dfc13a94-3f3b-4f80-961e-7e5ba722e976,1450998987225,0.574032,21.232169,-68.0,106,0
27,12c48eab-19c1-40e7-8b50-1c962f010e3c,1450999006794,4.292833,27.875932,-54.0,106,1
28,12c48eab-19c1-40e7-8b50-1c962f010e3c,1450999010915,1.289318,32.603741,-64.33333333333333,106,1
29,12c48eab-19c1-40e7-8b50-1c962f010e3c,1450999014915,4.220156,19.09589,-67.0,106,1
30,f38e2802-77e5-439a-b99f-7905becadf89,1450999025516,-7.19612,-34.474343,-74.91666666666667,101,0
31,899d3d4f-6ad1-41e3-9cd5-a1627a069a9a,1450999048848,1.458312,19.939029,-58.4,106,0
32,538604f7-dbe5-42f7-914a-a9dcc0ed2855,1450999221266,-0.502817,2.409665,-57.666666666666664,101,0
33,538604f7-dbe5-42f7-914a-a9dcc0ed2855,1450999236511,7.146365,23.465987,-59.5,106,0
34,afb9b425-a4a3-443e-8e69-db618db6748c,1450999251358,4.221674,24.944291,-53.42857142857143,106,0
35,bd81542f-1e52-4ee0-8024-3cf03011e740,1450999307106,141.864916,8.747802,-75.0,123,0
36,c96eb505-f3b2-4ee0-bd20-c5a43f960baa,1450999315777,8.297486,25.627143,-65.0,106,0
37,c96eb505-f3b2-4ee0-bd20-c5a43f960baa,1450999324166,2.600093,23.16059,-61.0,106,0
38,5039af4d-b324-4b9b-8345-e802887a7b51,1450999351501,2.920463,22.934039,-64.0,106,1
39,2edcce05-7dbe-4fee-8f97-28d5aa69c6fb,1450999377474,5.920444,22.240103,-59.285714285714285,106,0
40,2edcce05-7dbe-4fee-8f97-28d5aa69c6fb,1450999397214,6.235451,28.366682,-53.2,106,0
41,3c17d276-1d32-4171-a7d3-5715391bbddf,1450999505831,3.184998,23.914341,-54.833333333333336,106,0
42,3c17d276-1d32-4171-a7d3-5715391bbddf,1450999506416,2.193728,22.63061,-56.666666666666664,106,0
